id,url,secteur,canton,ville,date_audit,blog_present,nb_articles_blog,dernier_article_date,mois_depuis_dernier_article,derniere_modif_sitemap,copyright_annee,wayback_last_snapshot_diff_date,lighthouse_perf_mobile,lighthouse_seo,lighthouse_accessibility,https,mobile_responsive,title_present,meta_description_present,h1_unique,schema_org_present,schema_types,nb_pages_indexees,gmb_present,gmb_nb_avis,gmb_note_moyenne,gmb_dernier_post_date,gmb_reponses_avis_pct,gmb_horaires_visibles,gmb_telephone_visible,cta_homepage_present,formulaire_contact_present,tel_cliquable_mobile,preuves_sociales_presentes,page_about_present,auteur_nomme,photo_auteur_presente,mentions_legales_presentes,certifications_visibles,liens_rs_presents,rs_actifs,archetype,score_activite,notes
A01,https://www.carletti-sanitaire.ch,artisan-plombier,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,94,82,78,oui,N/A,oui,non,oui,non,none,50+,oui,27,4.3,N/A,N/A,oui,N/A,oui,N/A,non,non,non,oui,N/A,non,non,non,aucun,vitrine-fossile,8,Stratégie SEO local visible (50+ pages de communes). Site riche en volume mais aucun contenu éditorial. Fondé 1981 – Giovanni Carletti nommé dans les meta.
A02,https://expresseau.com,artisan-plombier,GE,Genève,2026-04-15,oui,5,undated,N/A,N/A,absent,N/A,53,92,74,oui,N/A,oui,oui,oui,oui,"WebPage, ImageObject, BreadcrumbList, WebSite, Organization",30+,oui,196,4.9,N/A,N/A,oui,N/A,oui,N/A,oui,non,non,oui,N/A,non,non,oui,facebook,blog-abandonne,9,Section /actualites présente avec ~5 articles visibles. Dates non lisibles. Yannick Debeugny nommé. Seul artisan du panel avec un vrai blog.
A03,https://www.elpintor.ch,artisan-peintre,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,76,100,89,oui,N/A,oui,oui,oui,oui,WebSite,~5,oui,6,4.3,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,oui,non,oui,facebook,vitrine-fossile,7,Site vitrine propre. Page /historique-et-engagements (à propos). Page /mentions-legales présente. Artisan depuis 2008 – sans blog.
A04,https://www.serrurerieklein.ch,artisan-serrurier,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,90,100,95,oui,N/A,oui,oui,oui,oui,WebSite,~8,oui,14,4.7,N/A,N/A,oui,N/A,oui,N/A,non,non,non,non,N/A,non,non,oui,"facebook, linkedin",vitrine-fossile,6,"Site vitrine sur Wix (à confirmer). Pages services bien découpées. Pas de blog, pas d'auteur nommé. Entreprise familiale ~5 employés."
A05,https://www.cipriano-electricite-geneve.ch,artisan-electricien,GE,Genève,2026-04-15,non,0,never,N/A,N/A,2026,N/A,75,100,88,oui,N/A,oui,oui,non,oui,"WebSite, Electrician",~4,oui,16,4.3,N/A,N/A,oui,N/A,oui,oui,oui,non,non,non,N/A,non,non,oui,"instagram, facebook, linkedin",vitrine-fossile,5,Seulement 4 pages indexées. Contenu axé urgences 24/24. Pas de blog. Présence solaire + VE mentionnée = contenu moderne mais statique.
A06,https://www.dubi-menuiserie.ch,artisan-menuisier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,absent,N/A,76,100,94,oui,N/A,oui,oui,oui,oui,WebSite,~3,oui,5,2.2,N/A,N/A,non,N/A,oui,N/A,oui,non,non,oui,N/A,oui,non,non,aucun,vitrine-fossile,6,"Seulement 3 pages : home + /mentions-legales + /nous-contacter. Équipe nommée (Pascal Borgeaud, Florian Crot). Fondé 1952. Site minimal mais propre."
A07,https://www.suarato.ch,artisan-menuisier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,absent,N/A,58,100,91,oui,N/A,oui,oui,oui,oui,"WebPage, BreadcrumbList, WebSite",~9,oui,17,3.8,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,non,non,oui,"instagram, facebook",vitrine-fossile,8,~9 pages structurées (portes/fenêtres/rénovation). Page /menuiserie = présentation. Résultat étrange avec une page de chaussures indexée – possible piratage SEO ou ancien domaine.
A08,https://www.vonguntenfreres.ch,artisan-menuisier-charpentier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,absent,N/A,45,92,88,oui,N/A,oui,oui,oui,non,none,~5,oui,8,4.5,N/A,N/A,oui,N/A,oui,N/A,oui,non,non,non,N/A,oui,non,oui,"instagram, facebook, linkedin",vitrine-fossile,7,5 pages propres. Mentionne mentions légales (/mentions-legales). Fondé 1999 – 2 frères. Pas de blog. Site classique artisan.
A09,https://www.menuiserierenovation.ch,artisan-menuisier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,2020,N/A,75,100,95,oui,N/A,oui,oui,oui,oui,WebSite,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,non,non,non,oui,N/A,non,non,non,aucun,vitrine-fossile,3,Une seule page indexée. Site quasi invisible. Guy Raffalli nommé. Site créé mais sans contenu ni structure. Archétype fossile maximal.
A10,https://www.bateg.swiss,artisan-peintre-platrerie,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,63,92,91,oui,N/A,oui,non,oui,oui,"WebPage, WPHeader, Organization, SiteNavigationElement, CreativeWork",~2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,non,oui,non,N/A,non,non,non,aucun,vitrine-fossile,4,"Seulement 2 pages (home + /entreprise). Domaine .swiss – original. Pas de blog, pas d'auteur nommé. Site ultra-minimal."
A11,https://osteopathe-lausanne.ch,sante-osteopathe,VD,Lausanne,2026-04-15,oui,10,undated,N/A,N/A,absent,N/A,94,92,93,oui,N/A,oui,non,oui,oui,"WebPage, ImageObject, BreadcrumbList, WebSite, Organization",10+,oui,98,5.0,N/A,N/A,oui,N/A,oui,N/A,non,non,N/A,oui,N/A,N/A,non,oui,"instagram, facebook",vivant,15,"Site bilingue FR/EN. ~10 articles de santé visibles (lower back pain, knee pain, migraines). Boris Hueber nommé. Le plus structuré des ostéopathes du panel."
A12,https://osteopathelausannemichaud.ch,sante-osteopathe,VD,Lausanne,2026-04-15,oui,8,undated,N/A,N/A,absent,N/A,78,100,86,oui,N/A,oui,oui,oui,oui,"WebPage, BreadcrumbList, WebSite, Organization, Physician, FAQPage",10+,oui,10,5.0,N/A,N/A,oui,N/A,oui,N/A,oui,non,N/A,oui,N/A,N/A,oui,oui,"facebook, linkedin",vivant,14,Pascal Michaud C.D.S. nommé. Articles catégorisés (/cat/sportif). Sophrologie intégrée. Certifié C.D.S. Contenu diversifié et structuré.
A13,https://alphysio.ch,sante-physiotherapeute,GE,Genève,2026-04-15,non,0,never,N/A,N/A,2024,N/A,50,100,91,oui,N/A,oui,oui,oui,non,none,~7,oui,6,5.0,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,oui,N/A,N/A,non,oui,linkedin,vitrine-fossile,9,"Dominique Lemort nommé (/qui-suis-je). ~7 pages services. Pas de blog. Site propre et spécialisé (ondes de choc, drainage)."
A14,https://www.physiorivedroite.ch,sante-physiotherapeute,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,73,92,89,oui,N/A,oui,oui,oui,oui,WebSite,~9,oui,11,5.0,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,oui,non,non,aucun,vitrine-fossile,10,Trilingue (FR/EN/EN-GB). Impressum (/imprint). Pages équipe et cabinet. ~9 pages bien structurées. Pas de contenu éditorial.
A15,https://psy-neuchatel.ch,sante-psychologue,NE,Neuchâtel,2026-04-15,non,0,never,N/A,N/A,absent,N/A,57,100,98,oui,N/A,oui,oui,non,oui,"SiteNavigationElement, ImageObject, WebPage, WebPageElement",1,oui,1,5.0,N/A,N/A,non,N/A,non,N/A,oui,non,N/A,oui,N/A,N/A,non,non,aucun,squelette-mobile-casse,3,Une seule page indexée. Gaëtane Donzé nommée. Pratiquement invisible sur Google. Site landing page unique.
A16,https://www.lo-psychotherapie.ch,sante-psychologue,NE,Neuchâtel,2026-04-15,non,0,never,N/A,N/A,absent,N/A,53,92,71,oui,N/A,oui,non,non,non,none,~2,non,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,non,non,oui,oui,N/A,N/A,oui,oui,"instagram, facebook",vitrine-fossile,6,"2 pages. Leitja Oechslin – titre fédéral FSP. Page /leitja-oechslin bien détaillée. Pratiques innovantes (zoothérapie, séances en plein air). Invisible en SEO."
A17,https://nutritionniste-geneve.ch,sante-nutritionniste,GE,Genève,2026-04-15,oui,10,undated,N/A,N/A,2026,N/A,48,92,77,oui,N/A,oui,oui,oui,oui,"WebPage, ImageObject, BreadcrumbList, WebSite, Organization, FAQPage",10+,oui,82,4.8,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,oui,N/A,N/A,oui,oui,"instagram, facebook",vivant,15,Céline Gianfrancesco – ASCA. ~10 recettes indexées + pages services. Page /prendre-rdv dédiée. Le site de santé le plus actif côté GE.
A18,https://www.scbdiet.ch,sante-dieteticienne,VD,Morges,2026-04-15,non,0,never,N/A,N/A,absent,N/A,89,92,64,oui,N/A,oui,oui,oui,non,none,~2,oui,2,3.0,N/A,N/A,non,N/A,non,N/A,non,non,non,oui,N/A,N/A,oui,non,aucun,squelette-mobile-casse,4,Site en HTTP (non sécurisé). 2 pages. Sylvie Chenaux Boisselet – ASDD. Fondé 2007 mais site non mis à jour. Problème technique HTTPS = squelette.
A19,https://www.swissavocat.ch,profession-lib-avocat,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,54,100,90,oui,N/A,oui,oui,oui,oui,"WebPage, AboutPage, ImageObject, BreadcrumbList, WebSite, Organization",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,oui,non,non,non,N/A,N/A,non,oui,linkedin,squelette-mobile-casse,3,Une seule page indexée. Cabinet avocat sans aucune page de service ni blog. Complètement invisible. Pire score du groupe professions libérales.
A20,https://ad-hoc-avocats.com,profession-lib-avocat,GE,Genève,2026-04-15,non,0,never,N/A,N/A,2026,N/A,57,92,73,oui,N/A,oui,oui,oui,oui,"Service, LocalBusiness",10+,oui,68,5.0,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,oui,non,oui,"facebook, linkedin",vitrine-fossile,10,10+ pages. /a-propos + /mentions-legales + /plan-du-site. Domaines juridiques couverts. Pas de blog mais structure solide.
A21,https://www.fiduciaire-sv.ch,profession-lib-fiduciaire,VD,Chavornay,2026-04-15,oui,3,undated,N/A,N/A,absent,N/A,97,100,78,oui,N/A,oui,oui,oui,non,none,~6,oui,4,4.0,N/A,N/A,non,N/A,oui,N/A,non,non,non,oui,N/A,N/A,non,oui,"facebook, linkedin",blog-abandonne,10,Sandrine Viglino nommée. 2+ articles visibles (/utile-et-pratique). Info taux AVS 2023 visible = contenu non mis à jour. Blog actif jadis.
A22,https://www.fiduciaire-staehli.ch,profession-lib-fiduciaire,VD,Morrens,2026-04-15,oui,6,2026-01-01,3,N/A,absent,N/A,62,92,85,oui,N/A,oui,oui,non,oui,"WebPage, BreadcrumbList, WebSite",10+,oui,15,4.5,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,oui,N/A,N/A,oui,oui,"instagram, facebook, linkedin",vivant,17,Martine Staehli nommée. Article 2026 visible (Meilleurs Experts Fiscaux 2026). Blog actif avec articles fiscaux. Certifiée meilleure fiduciaire 2026.
A23,https://leroy.archi,profession-lib-architecte,VD,Nyon,2026-04-15,non,0,never,N/A,N/A,absent,N/A,64,100,88,oui,N/A,oui,oui,non,oui,"WebPage, BreadcrumbList, WebSite",10+,oui,0,N/A,N/A,N/A,oui,N/A,oui,N/A,non,non,oui,oui,N/A,N/A,oui,non,aucun,vitrine-fossile,13,Philippe Le Roy – architecte EPFZ. Portfolio riche. /a_propos + /equipe + /eco-construction. Pas de blog. Site portfolio soigné sans contenu éditorial.
A24,https://www.atelier-a-architectes.ch,profession-lib-architecte,GE,Carouge,2026-04-15,non,0,never,N/A,N/A,2022,N/A,68,100,87,oui,N/A,oui,oui,non,non,none,10+,oui,0,N/A,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,oui,N/A,N/A,non,oui,"instagram, linkedin",vitrine-fossile,12,Sarrah Meille + Emmanuel Charpié nommés. Bilingue FR/EN. Projets + équipe. Créé 2020. Pas de blog. Site soigné et professionnel.
A25,https://le23emelieu.ch,beaute-coiffeur,GE,Genève,2026-04-15,non,0,never,N/A,N/A,2026,N/A,28,100,86,oui,N/A,oui,oui,oui,oui,"WebPage, BreadcrumbList, WebSite",10+,oui,524,4.7,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,oui,non,oui,"instagram, facebook",vitrine-fossile,12,10+ pages. /notre-equipe. Booking online. Juice bar intégré. Pas de blog. Présence RS forte (Instagram visible dans search). Site bien structuré.
A26,https://evidencecoiffure.ch,beaute-coiffeur,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,71,100,78,oui,N/A,oui,oui,oui,non,none,1,oui,71,4.9,N/A,N/A,oui,N/A,non,N/A,oui,non,non,non,N/A,N/A,non,oui,"instagram, facebook",squelette-mobile-casse,3,"Une seule page indexée. Salon ouvert mars 2022. Malgré 4 ans d'activité, quasiment aucune présence web. Frappant pour un salon actif."
A27,https://www.theyogarden.ch,beaute-yoga,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,2024,N/A,86,100,100,oui,N/A,oui,oui,oui,oui,"LocalBusiness, WebSite",10+,oui,19,5.0,N/A,N/A,non,N/A,oui,N/A,non,non,oui,non,N/A,N/A,non,oui,"instagram, facebook",vitrine-fossile,10,~10 pages (types de yoga). /lesprofs = équipe. Location salle. Pas de blog. Site vitrine bien construit mais dormant éditorialement.
A28,https://ooom.ch,beaute-yoga-therapie,VD,Lausanne,2026-04-15,oui,5,undated,N/A,N/A,absent,N/A,79,92,92,oui,N/A,oui,non,oui,non,none,10+,oui,9,4.9,N/A,N/A,oui,N/A,oui,N/A,non,non,oui,non,N/A,N/A,oui,oui,"facebook, linkedin",vivant,14,Section /trucs-astuces (remèdes naturels). /therapeute. Master psychologie UNIL. Présent depuis 2010. Tarifs et stages publiés. Site actif et soigné.
A29,https://www.sydneyfierro.com,beaute-masseur-yoga,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,absent,N/A,64,100,96,oui,N/A,oui,oui,non,oui,"LocalBusiness, WebSite",~3,oui,21,4.9,N/A,N/A,oui,N/A,oui,N/A,non,non,non,non,N/A,N/A,non,oui,instagram,vitrine-fossile,6,"3 pages (services uniquement). Ancienne chanteuse reconvertie. Site Wix basique. Pas de blog, pas d'about, pas de mentions légales."
A30,https://www.lebarbier-de-fribourg.ch,beaute-barbier,FR,Fribourg,2026-04-15,non,0,never,N/A,N/A,absent,N/A,64,100,90,oui,N/A,oui,oui,oui,non,none,~4,oui,206,4.8,never,50,oui,oui,oui,N/A,oui,oui,oui,non,N/A,oui,non,oui,"instagram, facebook",vitrine-fossile,12,"110+ avis Google 4.9/5. Barbers nommés (Yanick, Alain, Yohann, Thomas). /a-propos + /politique-de-confidentialite. 0 blog mais forte présence GMB."
A31,https://www.lastationlausanne.ch,restauration,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,absent,N/A,62,100,88,oui,N/A,oui,oui,non,non,none,~4,oui,350,4.8,N/A,N/A,oui,N/A,non,N/A,oui,non,non,oui,N/A,N/A,non,oui,"instagram, facebook",vitrine-fossile,8,Chef Lucas Lepoutre nommé. Bistrot solidaire / réinsertion. 4 pages. /old-home suggère refonte récente. Pas de blog. Concept original mais site minimal.
A32,https://jacques-restaurant.ch,restauration,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,2025,N/A,19,100,78,oui,N/A,oui,oui,oui,oui,"WebPage, ImageObject, BreadcrumbList, WebSite, Organization",~7,oui,309,4.8,N/A,N/A,oui,N/A,oui,N/A,oui,non,non,oui,N/A,N/A,non,oui,"instagram, facebook",vitrine-fossile,10,Chef Jacques Allisson nommé. /offrir (bons cadeaux) + /groupes = bonne conversion. /privacy-policy. ~7 pages. Pas de blog mais orienté vente.
A33,https://cafedesamisneuchatel.ch,restauration,NE,Neuchâtel,2026-04-15,oui,3,undated,N/A,N/A,absent,N/A,96,92,75,oui,N/A,oui,oui,non,non,none,~8,oui,517,4.3,N/A,N/A,oui,N/A,oui,N/A,oui,non,non,non,N/A,N/A,non,oui,facebook,blog-abandonne,10,Section /actualites.html présente. /reservation.html. Flammkuchen comme spécialité. 8 pages bien structurées. Date des actualités inconnue.
A34,https://www.apothecapurefood.ch,restauration,NE,Neuchâtel,2026-04-15,non,0,never,N/A,N/A,2020,N/A,59,100,92,oui,N/A,oui,oui,non,oui,"LocalBusiness, WebSite",~5,oui,361,4.2,N/A,N/A,oui,N/A,oui,N/A,non,non,non,non,N/A,N/A,non,oui,"instagram, facebook",vitrine-fossile,9,5 pages. E-shop intégré avec retrait en boutique. Cuisine bio/locale. Pas de blog. Contact via formulaire en ligne.
A35,https://brasserie-le-national.ch,restauration,VS,Sierre,2026-04-15,oui,3,undated,N/A,N/A,2026,N/A,58,92,80,oui,N/A,oui,non,non,non,none,~7,oui,1068,4.7,N/A,N/A,non,N/A,non,N/A,oui,non,non,non,N/A,N/A,non,oui,"instagram, facebook",blog-abandonne,11,"~7 pages. Articles visibles : œnothèque, burgers. Bar Le 1730. Événements privatifs. Dates articles inconnues. Repris en 2017."
A36,https://delphica.ch,commerce-niche-librairie,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,49,100,86,oui,N/A,oui,oui,oui,oui,PostalAddress,50+,oui,63,4.9,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,oui,N/A,N/A,non,non,aucun,vivant,13,E-commerce actif avec 50+ produits indexés. Zita (fondatrice) + Alexandre nommés. Club de lecture mensuel. Fondée 2011. Pas de blog mais catalogue vivant.
A37,https://librairieduboulevard.ch,commerce-niche-librairie,GE,Genève,2026-04-15,oui,50,undated,N/A,N/A,absent,N/A,71,92,79,oui,N/A,oui,non,non,oui,"WebPage, ImageObject, BreadcrumbList, WebSite, Organization",50+,oui,127,4.8,N/A,N/A,oui,N/A,oui,N/A,non,non,oui,non,N/A,non,non,oui,"instagram, facebook",vivant,18,Blog /actualites très actif (15+ pages d'articles visibles). Coups de cœur par genre. Événements. Fondée 1975. Le site le plus éditorialement actif du panel.
A38,https://librairiebasta.ch,commerce-niche-librairie,VD,Lausanne,2026-04-15,oui,15,undated,N/A,N/A,absent,N/A,61,100,91,oui,N/A,oui,oui,non,non,none,10+,oui,82,4.4,N/A,N/A,oui,N/A,oui,N/A,non,non,oui,non,N/A,oui,non,oui,"instagram, facebook",vivant,15,Coopérative autogérée. /articles + /news. Fondée 1978. 2 emplacements. Obsession Records associé. Engagement politique et culturel visible.
A39,https://www.lachaumiere-verbier.ch,commerce-niche-fromagerie,VS,Verbier,2026-04-15,non,0,never,N/A,N/A,absent,N/A,55,100,86,oui,N/A,oui,oui,oui,oui,"WebPage, BreadcrumbList, WebSite",~6,oui,98,4.6,N/A,N/A,oui,N/A,non,N/A,oui,non,oui,oui,N/A,N/A,non,non,aucun,vitrine-fossile,10,Philippe + Léo Blanc nommés. /a-propos. /nlpd (protection données). 6 pages. Fondée 1959. Pas de blog. Site propre mais dormant.
A40,https://www.junglepop.ch,commerce-niche-fleuriste,GE,Genève,2026-04-15,non,0,never,N/A,N/A,2026,N/A,66,92,87,oui,N/A,oui,oui,oui,oui,"BreadcrumbList, WebSite, Organization",10+,oui,75,4.9,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,N/A,non,oui,instagram,vivant,14,Site Shopify en anglais. 10+ pages. /about + /contact. Abonnements floraux. Clients prestige. Livraison J même. E-commerce actif mais 0 blog.
A41,https://vipvoyages.ch,services-PME-agence-voyage,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,59,92,85,oui,N/A,oui,oui,non,oui,"Organization, WebSite, WebPage, Person, Article",10+,oui,24,4.8,N/A,N/A,oui,N/A,oui,N/A,non,non,oui,non,N/A,N/A,non,oui,"instagram, linkedin",vitrine-fossile,10,10+ pages. /a-propos. Membre AVP. Depuis 1999. Offres voyages bien structurées. Pas de blog. Site commercial sans contenu éditorial.
A42,https://genevamove.ch,services-PME-demenagement,GE,Genève,2026-04-15,non,0,never,N/A,N/A,2026,N/A,59,100,90,oui,N/A,oui,oui,oui,non,none,1,oui,10,5.0,N/A,N/A,oui,N/A,non,N/A,oui,non,non,non,N/A,N/A,non,oui,facebook,squelette-mobile-casse,2,Une seule page. Service 24/7 mais présence web quasi nulle. Score le plus bas du panel. Clients GE + France voisine.
A43,https://mika-transports.ch,services-PME-transport,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,absent,N/A,40,77,75,oui,N/A,oui,non,non,non,none,10+,oui,122,4.6,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,N/A,non,oui,"instagram, facebook, linkedin",vitrine-fossile,11,Mika K. nommé (fondateur 2016). 10+ pages services. /devis. /societe/mikaquisommesnous. Pas de blog. Site professionnel sans contenu éditorial.
A44,https://authenticar.ch,services-PME-garage,NE,Neuchâtel,2026-04-15,non,0,never,N/A,N/A,absent,N/A,57,92,84,oui,N/A,oui,non,oui,non,none,~3,oui,74,5.0,N/A,N/A,oui,N/A,oui,N/A,oui,non,non,non,N/A,N/A,non,oui,instagram,vitrine-fossile,7,3 pages. /prendre-rdv = bonne conversion. Pas de blog. Garage toutes marques. Site minimaliste.
A45,https://www.autopassion.ch,services-PME-garage,NE,Neuchâtel,2026-04-15,oui,6,2025-01-01,15,N/A,2023,N/A,59,92,88,oui,N/A,oui,non,non,non,none,10+,oui,104,4.7,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,N/A,non,oui,"instagram, facebook",vivant,14,Agent Skoda. Section /news.php active (articles 2024 Kodiaq + 2025 BEV Enyaq). Fondé 1994. /contact + /gamme. Blog léger mais contenu datant 2025.
A46,https://www.mcscoach.ch,formateur-coach-vie,GE,Genève,2026-04-15,oui,3,undated,N/A,N/A,2023,N/A,77,100,91,oui,N/A,oui,oui,non,oui,"LocalBusiness, WebSite",~7,oui,144,5.0,N/A,N/A,oui,N/A,oui,N/A,oui,oui,oui,oui,N/A,N/A,oui,oui,"instagram, facebook, linkedin",blog-abandonne,13,Mireille Spycher Chabry. /post/l-échec-n-existe-pas = blog présent. Certif PNL + Hypnose + ASCA. Témoignages visibles. Dates blog inconnues.
A47,https://my-ikigai.ch,formateur-coach,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,83,85,76,oui,N/A,oui,oui,non,oui,"WebPage, BreadcrumbList, WebSite, Organization",~4,oui,7,5.0,N/A,N/A,oui,N/A,oui,N/A,non,oui,oui,oui,N/A,N/A,oui,oui,"instagram, linkedin",vitrine-fossile,11,Céline Mercader Cools – psychologue coach. Témoignages nombreux (visibles en snippet). PDF newsletter. Spécialiste ikigaï en Romandie.
A48,https://neswa.ch,formateur-coaching-formation,NE,Neuchâtel,2026-04-15,oui,10,undated,N/A,N/A,2026,N/A,70,100,82,oui,N/A,oui,oui,oui,oui,"WebPage, ImageObject, BreadcrumbList, WebSite, Organization",10+,non,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,non,oui,oui,N/A,N/A,non,oui,"instagram, linkedin",vivant,16,"Sabrina Streit nommée. ~10 articles de blog visibles (intuition, sécurité psychologique, outplacement). Catégories /manager + /candidat. Le meilleur blog-coaching du panel."
A49,https://www.formation-conseil.ch,formateur-coach-professionnel,FR,Fribourg,2026-04-15,oui,5,undated,N/A,N/A,absent,N/A,70,100,93,oui,N/A,oui,oui,oui,oui,"LocalBusiness, WebSite",~8,oui,11,4.5,N/A,N/A,oui,N/A,oui,N/A,non,non,oui,non,N/A,N/A,oui,oui,"facebook, linkedin",vivant,14,Section /actualites. Équipe 18 formateurs-coaches. Certifié EduQua depuis 2002. /gestion-carriere + /insertion-professionnelle + /accompagnement-entreprise.
A50,https://www.aurelienfaussurier.ch,formateur-coach-sportif,FR,Fribourg,2026-04-15,non,0,never,N/A,N/A,absent,N/A,32,100,100,oui,N/A,oui,oui,oui,oui,"LocalBusiness, WebSite",~9,oui,34,5.0,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,oui,N/A,N/A,non,oui,"facebook, linkedin",vitrine-fossile,10,"Aurélien Faussurier. ~9 pages (pilates, Nordic walking, massage, coaching). /a-propos. /coaches = témoignages. Bien structuré mais 0 blog."
