Date,Clics,Impressions,CTR,Position
2026-01-23,0,6,0%,11.5
2026-01-24,0,5,0%,16.6
2026-01-25,0,5,0%,8
2026-01-26,0,10,0%,6.2
2026-01-27,0,16,0%,12.1
2026-01-28,1,8,12.5%,8.8
2026-01-29,1,7,14.29%,14.1
2026-01-30,2,7,28.57%,5.4
2026-01-31,0,14,0%,16.5
2026-02-01,0,15,0%,5.4
2026-02-02,0,47,0%,8.5
2026-02-03,1,56,1.79%,11.2
2026-02-04,0,61,0%,7.2
2026-02-05,1,78,1.28%,8
2026-02-06,1,61,1.64%,6.9
2026-02-07,1,66,1.52%,12.5
2026-02-08,1,88,1.14%,12.4
2026-02-09,1,109,0.92%,7.2
2026-02-10,2,91,2.2%,6.9
2026-02-11,0,82,0%,7.6
2026-02-12,0,96,0%,7.8
2026-02-13,1,64,1.56%,7.5
2026-02-14,0,77,0%,7.4
2026-02-15,0,99,0%,7.8
2026-02-16,0,87,0%,7.8
2026-02-17,1,42,2.38%,11.9
2026-02-18,1,15,6.67%,5.5
2026-02-19,0,28,0%,6
2026-02-20,0,22,0%,6.8
2026-02-21,0,16,0%,5.8
2026-02-22,0,29,0%,15.4
2026-02-23,1,24,4.17%,3.9
2026-02-24,0,21,0%,7.1
2026-02-25,1,26,3.85%,10.8
2026-02-26,0,57,0%,6.9
2026-02-27,0,34,0%,28.7
2026-02-28,1,53,1.89%,30.8
2026-03-01,1,42,2.38%,7.2
2026-03-02,0,34,0%,10.3
2026-03-03,0,46,0%,8
2026-03-04,0,61,0%,11
2026-03-05,1,54,1.85%,13.9
2026-03-06,0,52,0%,9.9
2026-03-07,2,36,5.56%,11.2
2026-03-08,0,40,0%,6.2
2026-03-09,0,40,0%,6.8
2026-03-10,1,62,1.61%,8.5
2026-03-11,0,46,0%,8.5
2026-03-12,1,77,1.3%,6.7
2026-03-13,0,51,0%,7.5
2026-03-14,0,46,0%,10.8
2026-03-15,1,38,2.63%,10.3
2026-03-16,1,48,2.08%,7.9
2026-03-17,1,39,2.56%,7.6
2026-03-18,0,43,0%,8
2026-03-19,1,50,2%,6
2026-03-20,1,28,3.57%,7
2026-03-21,0,17,0%,14.2
2026-03-22,0,19,0%,8.3
2026-03-23,0,17,0%,6.8
2026-03-24,0,19,0%,8.5
2026-03-25,1,17,5.88%,5.1
2026-03-26,0,34,0%,5.6
2026-03-27,1,39,2.56%,9.8
2026-03-28,0,25,0%,7.6
2026-03-29,0,49,0%,8.2
2026-03-30,0,42,0%,6.2
2026-03-31,0,36,0%,10.9
2026-04-01,0,24,0%,11.2
2026-04-02,0,42,0%,11.3
2026-04-03,0,40,0%,7.7
2026-04-04,1,49,2.04%,18.2
2026-04-05,0,39,0%,8.9
2026-04-06,0,63,0%,8.2
2026-04-07,1,62,1.61%,8.9
2026-04-08,1,78,1.28%,6.7
2026-04-09,0,80,0%,6.7
2026-04-10,1,74,1.35%,12.1
2026-04-11,0,36,0%,15.3
2026-04-12,0,66,0%,8.4
2026-04-13,0,64,0%,7.4
2026-04-14,0,108,0%,6.9
2026-04-15,3,90,3.33%,8.8
2026-04-16,0,61,0%,10.8
2026-04-17,1,56,1.79%,12.9
2026-04-18,1,56,1.79%,10.3
2026-04-19,0,44,0%,10.5
2026-04-20,0,90,0%,9.9
2026-04-21,0,62,0%,11.5
2026-04-22,0,58,0%,11.7