Pays,Clics,Impressions,CTR,Position
Suisse,18,904,1.99%,12.67
France,10,893,1.12%,11.78
États-Unis,2,933,0.21%,7.27
Singapour,2,50,4%,6.86
Inde,2,48,4.17%,7.58
Canada,1,103,0.97%,7.01
Brésil,1,80,1.25%,6.83
Chine,1,32,3.12%,7.03
Philippines,1,9,11.11%,11.44
Croatie,1,8,12.5%,7.88
Madagascar,1,4,25%,13.25
Royaume-Uni,0,88,0%,8.07
Belgique,0,85,0%,6.11
Pays-Bas,0,54,0%,7.52
Japon,0,49,0%,7.24
Espagne,0,44,0%,7.45
Allemagne,0,41,0%,7.29
Italie,0,36,0%,9
Corée du Sud,0,35,0%,7.83
Mexique,0,32,0%,8.47
Indonésie,0,27,0%,5.41
Israël,0,27,0%,8.26
Turquie,0,24,0%,6.62
Maroc,0,24,0%,7.92
Australie,0,24,0%,8.12
Portugal,0,23,0%,7.3
Afrique du Sud,0,22,0%,7.27
Ukraine,0,22,0%,7.41
Vietnam,0,21,0%,7.71
Suède,0,19,0%,7.68
Taïwan,0,18,0%,7.67
Algérie,0,16,0%,5.5
Russie,0,15,0%,6.47
Argentine,0,15,0%,6.6
Pologne,0,15,0%,9.2
Hong-Kong,0,14,0%,5.79
Colombie,0,13,0%,6.15
Finlande,0,13,0%,6.69
Émirats Arabes Unis,0,13,0%,9
Thaïlande,0,13,0%,10.38
Pérou,0,12,0%,6.75
Danemark,0,12,0%,7.33
Norvège,0,11,0%,8.18
Grèce,0,10,0%,7
Autriche,0,10,0%,7.4
Arabie Saoudite,0,10,0%,8.9
Irlande,0,9,0%,4.44
Roumanie,0,9,0%,8.11
Luxembourg,0,8,0%,6.25
République tchèque,0,8,0%,8.88
Costa Rica,0,8,0%,9.25
Cameroun,0,7,0%,5.43
Tunisie,0,7,0%,6.43
Serbie,0,7,0%,8.14
Iran,0,6,0%,4.67
Nouvelle-Zélande,0,6,0%,7.5
Venezuela,0,5,0%,4.2
République démocratique du Congo,0,5,0%,4.4
République Dominicaine,0,5,0%,5
Albanie,0,5,0%,5.2
Chili,0,5,0%,5.2
Hongrie,0,5,0%,5.4
Bulgarie,0,5,0%,5.8
Slovaquie,0,5,0%,6
Bangladesh,0,4,0%,4.75
Pakistan,0,4,0%,5.75
Lituanie,0,4,0%,8.5
Haïti,0,4,0%,10.5
Bosnie-Herzégovine,0,3,0%,4
Cuba,0,3,0%,4
Côte d'Ivoire,0,3,0%,4.33
Équateur,0,3,0%,4.67
Slovénie,0,3,0%,4.67
Moldavie,0,3,0%,5
Arménie,0,3,0%,5.33
Bénin,0,3,0%,5.33
Syrie,0,3,0%,5.33
Burkina Faso,0,3,0%,5.67
Jamaïque,0,3,0%,5.67
Réunion (Île de la),0,3,0%,6
Ouzbékistan,0,3,0%,6.67
Trinité-et-Tobago,0,3,0%,7
Maurice (Île),0,3,0%,10.33
Malaisie,0,3,0%,11.67
Nigéria,0,2,0%,2
Sri Lanka,0,2,0%,2.5
Togo,0,2,0%,3
Oman,0,2,0%,4.5
Panama,0,2,0%,4.5
Kazakhstan,0,2,0%,6
Palestine,0,2,0%,6
Tanzanie,0,2,0%,6
Ghana,0,2,0%,6.5
Myanmar (Birmanie),0,2,0%,8.5
Paraguay,0,2,0%,9
Îles Turks-et-Caïcos,0,2,0%,9
Barbade (La),0,2,0%,10.5
Porto Rico,0,2,0%,12.5
Honduras,0,1,0%,1
Fidji,0,1,0%,2
Irak,0,1,0%,2
Qatar,0,1,0%,2
Estonie,0,1,0%,3
Andorre,0,1,0%,4
Turkménistan,0,1,0%,4
Belize,0,1,0%,5
Jordanie,0,1,0%,5
Macédoine,0,1,0%,5
Macao,0,1,0%,6
Biélorussie,0,1,0%,7
Cap-Vert,0,1,0%,7
Gibraltar,0,1,0%,7
Guadeloupe,0,1,0%,7
Kenya,0,1,0%,7
Kirghizistan,0,1,0%,7
Lettonie,0,1,0%,7
Martinique,0,1,0%,7
Géorgie,0,1,0%,8
Man (Île),0,1,0%,8
Mali,0,1,0%,8
Mayotte,0,1,0%,8
Népal,0,1,0%,8
Îles Vierges américaines,0,1,0%,8
Cambodge,0,1,0%,9
Mauritanie,0,1,0%,9
Uruguay,0,1,0%,9
Gabon,0,1,0%,10
Malte,0,1,0%,10
Égypte,0,1,0%,11
Sénégal,0,1,0%,11
Saint-Marin,0,1,0%,21